date,total_deaths,icu_patients,hosp_patients,stringency_index,reproduction_rate,total_tests,positive_rate
2020-01-22,NA,NA,NA,0,NA,NA,NA
2020-01-23,NA,NA,NA,0,NA,NA,NA
2020-01-24,NA,NA,NA,0,NA,NA,NA
2020-01-25,NA,NA,NA,0,NA,NA,NA
2020-01-26,NA,NA,NA,0,NA,NA,NA
2020-01-27,NA,NA,NA,0,NA,NA,NA
2020-01-28,NA,NA,NA,0,NA,NA,NA
2020-01-29,NA,NA,NA,0,NA,NA,NA
2020-01-30,NA,NA,NA,0,NA,NA,NA
2020-01-31,NA,NA,NA,0,NA,NA,NA
2020-02-01,NA,NA,NA,0,NA,NA,NA
2020-02-02,NA,NA,NA,5.56,NA,NA,NA
2020-02-03,NA,NA,NA,5.56,NA,NA,NA
2020-02-04,NA,NA,NA,5.56,NA,NA,NA
2020-02-05,NA,NA,NA,5.56,NA,NA,NA
2020-02-06,NA,NA,NA,5.56,NA,NA,NA
2020-02-07,NA,NA,NA,5.56,NA,NA,NA
2020-02-08,NA,NA,NA,5.56,NA,NA,NA
2020-02-09,NA,NA,NA,5.56,NA,NA,NA
2020-02-10,NA,NA,NA,5.56,NA,NA,NA
2020-02-11,NA,NA,NA,5.56,NA,NA,NA
2020-02-12,NA,NA,NA,5.56,NA,NA,NA
2020-02-13,NA,NA,NA,5.56,NA,NA,NA
2020-02-14,NA,NA,NA,5.56,NA,NA,NA
2020-02-15,NA,NA,NA,5.56,NA,NA,NA
2020-02-16,NA,NA,NA,5.56,NA,NA,NA
2020-02-17,NA,NA,NA,5.56,NA,NA,NA
2020-02-18,NA,NA,NA,5.56,NA,NA,NA
2020-02-19,NA,NA,NA,5.56,NA,NA,NA
2020-02-20,NA,NA,NA,5.56,NA,NA,NA
2020-02-21,NA,NA,NA,5.56,NA,NA,NA
2020-02-22,NA,NA,NA,5.56,NA,NA,NA
2020-02-23,NA,NA,NA,5.56,NA,NA,NA
2020-02-24,NA,NA,NA,5.56,NA,NA,NA
2020-02-25,NA,NA,NA,5.56,NA,NA,NA
2020-02-26,NA,NA,NA,5.56,NA,NA,NA
2020-02-27,NA,NA,NA,5.56,NA,NA,NA
2020-02-28,NA,NA,NA,5.56,NA,NA,NA
2020-02-29,1,NA,NA,5.56,NA,NA,NA
2020-03-01,1,NA,NA,8.33,NA,348,NA
2020-03-02,6,NA,NA,11.11,NA,861,NA
2020-03-03,7,NA,NA,11.11,NA,1483,NA
2020-03-04,11,NA,NA,11.11,NA,2369,NA
2020-03-05,12,NA,NA,20.37,3.61,3570,NA
2020-03-06,14,NA,NA,20.37,3.56,5092,NA
2020-03-07,17,NA,NA,20.37,3.58,6863,NA
2020-03-08,21,NA,NA,20.37,3.46,8502,0.06
2020-03-09,22,NA,NA,20.37,3.33,10898,0.054
2020-03-10,28,NA,NA,20.37,3.36,14363,0.055
2020-03-11,33,NA,NA,21.76,3.42,19189,0.062
2020-03-12,43,NA,NA,30.09,3.4,28057,0.057
2020-03-13,51,NA,NA,30.09,3.42,39766,0.057
2020-03-14,58,NA,NA,35.65,3.38,52756,0.056
2020-03-15,70,NA,NA,41.2,3.41,67181,0.046
2020-03-16,97,NA,NA,52.31,3.61,94452,0.049
